Code,Parent,Locale,Name,Slug,Description
CATEGORIES,,,,,
ACCESSOIRES,,,,,
MOBILES,,,,,
PROTECTIONS,,,,,
ECOUTEURS,,,,,
FRONT,,,,,
PROMOTIONS,,,,,
RECONDITIONNES,,,,,
ETAT,,,,,
NEUF,,,,,
OCCASION,,,,,
Nos-consoles,,,,,
Lesmarques,,,,,
Samsung,,,,,
apple,,,,,
Redmi,,,,,
Nospiecesdetachees,,,,,
iPhone,,,,,
Batterie,,,,,
iPhone8,,,,,
iPhoneX,,,,,
batteriex,,,,,
iPhone8plus,,,,,
batterie8plus,,,,,
Ecraniphone8,,,,,
EcraniphoneX,,,,,
Ecraniphone8plus,,,,,
cameraiphone8,,,,,
cameraiphone8plus,,,,,
CameraiphoneX,,,,,
iPhoneXS,,,,,
iPhoneXSMax,,,,,
iPhone11,,,,,
iPhone11pro,,,,,
iphone11promax,,,,,
iphone12,,,,,
iPhone12mini,,,,,
iPhone12pro,,,,,
iPhone12promax,,,,,
iphone13,,,,,
iphone13mini,,,,,
iphone13pro,,,,,
iPhone13promax,,,,,
iPhone14,,,,,
iPhone14plus,,,,,
iPhone14pro,,,,,
iPhone14promax,,,,,
iPhone15,,,,,
iPhone15plus,,,,,
iPhone15pro,,,,,
iPhone15promax,,,,,
iPhone16,,,,,
iphone16plus,,,,,
iPhone16pro,,,,,
iPhone16promax,,,,,
batteriexs,,,,,
ecranxs,,,,,
cameraxs,,,,,
batteriexsmax,,,,,
batterie11,,,,,
batterie1pro,,,,,
Batterie11promax,,,,,
Batterie12,,,,,
Batterie12mini,,,,,
Batterie12pro,,,,,
Batterie12promax,,,,,
Batterie13,,,,,
batterie13mini,,,,,
Batterie13pro,,,,,
Batterie13promax,,,,,
Batterie14,,,,,
Batterie14plus,,,,,
Batterie14pro,,,,,
Batterie14promax,,,,,
Batterie15,,,,,
Batterie15plus,,,,,
Batterie15pro,,,,,
Batterie15promax,,,,,
Batterie16,,,,,
Batterie16plus,,,,,
Batterie16pro,,,,,
batterie16promax,,,,,
ecranxsmax,,,,,
cameraxsmax,,,,,
ecran11,,,,,
camera11,,,,,
ecran11pro,,,,,
ecran11promax,,,,,
camera11pro,,,,,
camera11promax,,,,,
ecran12,,,,,
ecran12mini,,,,,
ecran12pro,,,,,
camera12,,,,,
ecran12promax,,,,,
ecran13,,,,,
camera12mini,,,,,
ecran13mini,,,,,
camera12pro,,,,,
camera12promax,,,,,
camera13,,,,,
ecran13pro,,,,,
camera13mini,,,,,
